x,MeanCluster6,MeanCluster5,MeanCluster4,MeanCluster3,MeanCluster2,MeanCluster1
0.731,0.43555,0.50738,0.419032,0.3671,0.288266667,0.2101
0.732,0.43615,0.50801,0.419552,0.367675,0.288833333,0.2105
0.733,0.43675,0.50858,0.42006,0.3682,0.289333333,0.2109
0.734,0.4374,0.50918,0.420676,0.368825,0.289777778,0.2114
0.735,0.438,0.50983,0.421264,0.3695,0.290211111,0.2119
0.736,0.43865,0.51045,0.421828,0.370125,0.290666667,0.2123
0.737,0.43925,0.51114,0.422364,0.3706875,0.291277778,0.2126
0.738,0.43995,0.51166,0.422912,0.371275,0.291855556,0.2129
0.739,0.44055,0.5122,0.423456,0.371825,0.292355556,0.2133
0.74,0.4411,0.51277,0.423968,0.372375,0.292733333,0.2137
0.741,0.44165,0.51345,0.424544,0.372975,0.293277778,0.2141
0.742,0.4422,0.51409,0.425116,0.3735875,0.293855556,0.2144
