x,01_Soil,02_Dry_bush,03_Soil,04_Very_green_bush,05_Soil_with_crust,06_Soil_without_crust,07_Desert_pink_flowers,08_Brown_thorns,09_Very_dry_grass,10_Mix_of_soil_and_crust,11_Dense_desert_pink_flowers,12_Soil_with_crust,13_Rock_and_stones,14_Small_stones,15_Green-light_blue_bush,16_Very_dry_grass,17_Greenish_thorns,18_Bush,19_Sparse_dry_grass,20_Soil_with_crust,21_Acacia
0.4149 ,0.064333333,0.090225000,0.217833333,0.056166667,0.213600000,0.155350000,0.094766667,0.057200000,0.072466667,0.168633333,0.058500000,0.217000000,0.232225000,0.417550000,0.069066667,0.053733333,0.044966667,0.100250000,0.077766667,0.194566667,0.051660000
0.4164 ,0.065333333,0.090725000,0.219400000,0.056933333,0.215066667,0.156625000,0.096000000,0.057733333,0.073600000,0.170000000,0.059533333,0.218633333,0.233675000,0.418450000,0.069766667,0.054766667,0.047000000,0.101075000,0.079000000,0.195933333,0.052100000
0.4178 ,0.066333333,0.091275000,0.221000000,0.057733333,0.216533333,0.157900000,0.097200000,0.058200000,0.074700000,0.171366667,0.060600000,0.220166667,0.235150000,0.419375000,0.070533333,0.055766667,0.049100000,0.102000000,0.080366667,0.197333333,0.052620000
0.4193 ,0.067433333,0.091925000,0.222766667,0.058733333,0.218333333,0.159425000,0.098633333,0.058866667,0.075933333,0.172900000,0.061733333,0.221933333,0.236750000,0.420725000,0.071366667,0.056933333,0.051300000,0.103100000,0.081800000,0.199166667,0.053220000
0.4207 ,0.068400000,0.092400000,0.224300000,0.059533333,0.219766667,0.160700000,0.099733333,0.059366667,0.077000000,0.174233333,0.062733333,0.223400000,0.238150000,0.421625000,0.072166667,0.057966667,0.053400000,0.103975000,0.083100000,0.200566667,0.053740000
0.4222 ,0.069466667,0.092975000,0.225966667,0.060466667,0.221366667,0.162050000,0.101000000,0.059933333,0.078100000,0.175666667,0.063700000,0.225033333,0.239625000,0.422775000,0.072933333,0.059000000,0.055433333,0.104975000,0.084400000,0.202166667,0.054300000
0.4236 ,0.070466667,0.093550000,0.227733333,0.061433333,0.223100000,0.163550000,0.102266667,0.060500000,0.079266667,0.177266667,0.064766667,0.226866667,0.241375000,0.423725000,0.073766667,0.060100000,0.057500000,0.106025000,0.085800000,0.203766667,0.054980000
0.4251 ,0.071566667,0.094175000,0.229566667,0.062433333,0.224866667,0.165000000,0.103466667,0.061066667,0.080400000,0.178800000,0.065766667,0.228666667,0.243000000,0.424950000,0.074600000,0.061200000,0.059433333,0.107100000,0.087233333,0.205466667,0.055660000
0.4265 ,0.072633333,0.094775000,0.231400000,0.063333333,0.226566667,0.166500000,0.104666667,0.061666667,0.081500000,0.180466667,0.066700000,0.230533333,0.244775000,0.426025000,0.075400000,0.062233333,0.061233333,0.108150000,0.088633333,0.207133333,0.056380000
0.4280 ,0.073600000,0.095300000,0.233300000,0.064233333,0.228166667,0.167925000,0.105766667,0.062133333,0.082533333,0.182100000,0.067600000,0.232433333,0.246475000,0.426900000,0.076066667,0.063233333,0.062933333,0.109175000,0.089933333,0.208600000,0.057040000
0.4295 ,0.075066667,0.096350000,0.236166667,0.065466667,0.231033333,0.170300000,0.107600000,0.063166667,0.084133333,0.184433333,0.068933333,0.235066667,0.249000000,0.429025000,0.077166667,0.064633333,0.064866667,0.110725000,0.091866667,0.211400000,0.058080000
0.4309 ,0.076366667,0.097075000,0.238466667,0.066666667,0.233533333,0.172350000,0.109200000,0.063966667,0.085466667,0.186466667,0.070000000,0.237233333,0.250900000,0.430875000,0.078166667,0.065966667,0.066666667,0.112200000,0.093666667,0.213933333,0.059020000
0.4324 ,0.077600000,0.097850000,0.240900000,0.067700000,0.235866667,0.174300000,0.110700000,0.064733333,0.086733333,0.188400000,0.071000000,0.239433333,0.252900000,0.432375000,0.079033333,0.067066667,0.068233333,0.113475000,0.095266667,0.216133333,0.059900000
