 x , Cluster6 , Cluster5 , Cluster4 , Cluster3 , Cluster2 , Cluster1 
1.14,0.629006802,0.554870519,0.529665734,0.49448573,0.402260482,0.319162584
1.1425,0.629609286,0.555427583,0.530229911,0.494981434,0.402835263,0.319589654
1.145,0.630116152,0.556032042,0.530749842,0.49537169,0.403335847,0.319964724
1.1475,0.630495181,0.556557991,0.531145249,0.495746975,0.403854448,0.320350261
1.15,0.630859108,0.556866705,0.531508104,0.496241583,0.404385877,0.320811767
1.1525,0.631414307,0.557076497,0.532045028,0.496796411,0.404856373,0.321343309
1.155,0.632113077,0.557514383,0.532734149,0.497194255,0.405245498,0.321879614
1.1575,0.632658438,0.558208086,0.533326969,0.497423241,0.405588102,0.322397192
1.16,0.633004326,0.558831814,0.533722909,0.497715513,0.405949182,0.322923113
1.1625,0.63346136,0.559295083,0.53403739,0.498204493,0.406430667,0.323457224
1.165,0.63414773,0.559917566,0.534386985,0.498842187,0.407011815,0.323950987
1.1675,0.634767432,0.560798298,0.534860649,0.499535889,0.407434066,0.324368412
1.17,0.635142716,0.561456945,0.535450199,0.500129335,0.407563895,0.324711572
1.1725,0.635535489,0.561586661,0.535896132,0.500533431,0.407672897,0.324994081
1.175,0.63617006,0.561686422,0.536023158,0.500901112,0.408006305,0.325249822
1.1775,0.636849048,0.562246518,0.536136954,0.501387528,0.408452492,0.325516712
1.18,0.637328773,0.56298084,0.536568379,0.501936809,0.408849843,0.325832669
1.1825,0.637666629,0.56344441,0.537152306,0.502435651,0.409231872,0.326235609
1.185,0.638011331,0.563618109,0.537596163,0.502791417,0.409689016,0.326749448
1.1875,0.638414055,0.563651372,0.537954499,0.50294163,0.410230173,0.327284581
1.19,0.638870445,0.563637636,0.538430432,0.503039729,0.410819152,0.327710862
1.1925,0.639275033,0.56364012,0.538981232,0.503342093,0.411351589,0.328077778
1.195,0.63946284,0.563755806,0.539405237,0.503780839,0.411683747,0.328547152
1.1975,0.639440076,0.564100071,0.539654255,0.504041631,0.411801705,0.329098166
1.2,0.639371401,0.56455513,0.539824217,0.504119187,0.411812318,0.329541478
1.2025,0.639358392,0.56475358,0.539963162,0.504347462,0.411801506,0.329806795
1.205,0.639414112,0.564601443,0.540051623,0.504793187,0.411822476,0.329983768
1.2075,0.639533886,0.564433243,0.540131509,0.505097395,0.411919811,0.330128756
1.21,0.639691833,0.564440738,0.540360701,0.505089252,0.412126458,0.330220969
1.2125,0.639849095,0.564443849,0.540785265,0.505064068,0.412419552,0.33028822
1.215,0.639940019,0.564346773,0.541144778,0.505263982,0.412640846,0.330498321
1.2175,0.639932928,0.564440272,0.541224991,0.505601541,0.412708096,0.330933551
1.22,0.639930697,0.564947204,0.541139879,0.50593463,0.412880657,0.331298394
1.2225,0.640034241,0.565500922,0.541062675,0.506146152,0.413389981,0.331321928
1.225,0.640182944,0.565669001,0.541099036,0.50616274,0.413940579,0.331284052
1.2275,0.640286251,0.565575297,0.541311255,0.506138917,0.414133784,0.331567798
1.23,0.640412917,0.565524325,0.541598693,0.506289143,0.414049563,0.332020752
1.2325,0.640682005,0.565544149,0.541800885,0.506586638,0.413967093,0.332282378
1.235,0.64097074,0.565525551,0.541910473,0.506883317,0.413978995,0.332366456
1.2375,0.641024506,0.565505666,0.542013691,0.507136182,0.414060239,0.332513069
1.24,0.640957045,0.565625388,0.542144629,0.507380236,0.414190979,0.332786478
